ICD10code,list_disease_real,disease_duration
C94,All cancers,1826.25
C95.0,All cancers,1826.25
C95.1,All cancers,1826.25
C95.2,All cancers,1826.25
C95.3,All cancers,1826.25
C95.4,All cancers,1826.25
C95.5,All cancers,1826.25
C95.6,All cancers,1826.25
C95.7,All cancers,1826.25
C95.8,All cancers,1826.25
C95.9,All cancers,1826.25
C95,All cancers,1826.25
C82.0,All cancers,1826.25
C82.1,All cancers,1826.25
C82.2,All cancers,1826.25
C82.3,All cancers,1826.25
C82.4,All cancers,1826.25
C82.5,All cancers,1826.25
C82.6,All cancers,1826.25
C82.7,All cancers,1826.25
C82.8,All cancers,1826.25
C82.9,All cancers,1826.25
C82,All cancers,1826.25
C83.0,All cancers,1826.25
C83.1,All cancers,1826.25
C83.2,All cancers,1826.25
C83.3,All cancers,1826.25
C83.4,All cancers,1826.25
C83.5,All cancers,1826.25
C83.6,All cancers,1826.25
C83.7,All cancers,1826.25
C83.8,All cancers,1826.25
C83.9,All cancers,1826.25
C83,All cancers,1826.25
C84.0,All cancers,1826.25
C84.1,All cancers,1826.25
C84.2,All cancers,1826.25
C84.3,All cancers,1826.25
C84.4,All cancers,1826.25
C84.5,All cancers,1826.25
C84.6,All cancers,1826.25
C84.7,All cancers,1826.25
C84.8,All cancers,1826.25
C84.9,All cancers,1826.25
C84,All cancers,1826.25
C85.0,All cancers,1826.25
C85.1,All cancers,1826.25
C85.2,All cancers,1826.25
C85.3,All cancers,1826.25
C85.4,All cancers,1826.25
C85.5,All cancers,1826.25
C85.6,All cancers,1826.25
C85.7,All cancers,1826.25
C85.8,All cancers,1826.25
C85.9,All cancers,1826.25
C85,All cancers,1826.25
C86.0,All cancers,1826.25
C86.1,All cancers,1826.25
C86.2,All cancers,1826.25
C86.3,All cancers,1826.25
C86.4,All cancers,1826.25
C86.5,All cancers,1826.25
C86.6,All cancers,1826.25
C86.7,All cancers,1826.25
C86.8,All cancers,1826.25
C86.9,All cancers,1826.25
C86,All cancers,1826.25
D45.0,All cancers,1826.25
D45.1,All cancers,1826.25
D45.2,All cancers,1826.25
D45.3,All cancers,1826.25
D45.4,All cancers,1826.25
D45.5,All cancers,1826.25
D45.6,All cancers,1826.25
D45.7,All cancers,1826.25
D45.8,All cancers,1826.25
D45.9,All cancers,1826.25
D45,All cancers,1826.25
C22.1,All cancers,1826.25
C24.0,All cancers,1826.25
C24.1,All cancers,1826.25
C24.2,All cancers,1826.25
